,Con1Subject,Con2Subject,Con3Subject,Condition 1,Condition 2,Condition 3,Con1Tweet,Con2Tweet,Con3Tweet,HasProfile,Cond1Acc,Cond2Acc,Cond3Acc,Cond1Eng,Cond2Eng,Cond3Eng,Cond1Fake,Cond2Fake,Cond3Fake,Political View,Trust Tweet,Photoshop
60ff49adb870d28d817836c3,1,1,1,1,2,3,3,1,2,No,Very Inaccurate (1),Somewhat Accurate (4),Neither Accurate nor Inaccurate (3),No Engagement,No Engagement,No Engagement,More fake than real (2),More real than fake (4),Definitely fake (1),Very Liberal,6,"No, I've never used it"
62ff729e45762cc3ac6090f9,2,2,2,1,2,3,2,1,3,No,Somewhat Inaccurate (2),Neither Accurate nor Inaccurate (3),Somewhat Inaccurate (2),No Engagement,No Engagement,No Engagement,Definitely real (5),Definitely real (5),Definitely fake (1),Slightly Conservative,2,"Yes, somewhat experienced"
6083a15be9a52b1775208372,3,3,3,1,2,3,3,2,1,No,Very Inaccurate (1),Very Accurate (5),Somewhat Inaccurate (2),No Engagement,No Engagement,No Engagement,I'm not sure (3),More real than fake (4),More fake than real (2),Slightly Liberal,4,"Yes,  but I just started using it"
630a2fd6e76ccbe74374656d,4,4,4,1,2,3,2,1,3,No,Very Inaccurate (1),Neither Accurate nor Inaccurate (3),Somewhat Inaccurate (2),No Engagement,Like,Reply,More fake than real (2),More fake than real (2),More real than fake (4),Prefer not to say,Neutral   5,"Yes, somewhat experienced"
5ea3c3f4c8a6d41d78e8f96c,5,5,5,1,2,3,1,3,2,No,Very Accurate (5),Very Inaccurate (1),Somewhat Inaccurate (2),No Engagement,No Engagement,No Engagement,Definitely real (5),Definitely real (5),More real than fake (4),Prefer not to say,Neutral   5,"Yes,  but I just started using it"
5fc24a91ff661a07d0fd22be,6,6,6,1,2,3,3,2,1,No,Very Inaccurate (1),Somewhat Accurate (4),Somewhat Inaccurate (2),No Engagement,No Engagement,No Engagement,Definitely fake (1),More real than fake (4),More real than fake (4),Slightly Liberal,7,"Yes,  but I just started using it"
627426f35bbef15c65add1cd,7,7,7,1,2,3,2,1,3,No,Somewhat Accurate (4),Somewhat Accurate (4),Somewhat Inaccurate (2),No Engagement,No Engagement,No Engagement,More real than fake (4),More real than fake (4),Definitely fake (1),Slightly Conservative,Neutral   5,"No, I've never used it"
6019a44e01bf1810d777c4f8,8,8,8,1,2,3,1,2,3,No,Somewhat Accurate (4),Somewhat Inaccurate (2),Somewhat Inaccurate (2),No Engagement,No Engagement,No Engagement,More real than fake (4),I'm not sure (3),More fake than real (2),Very Conservative,4,"No, I've never used it"
60737b97d01c3800e734921d,9,9,9,1,2,3,3,1,2,No,Somewhat Inaccurate (2),Somewhat Accurate (4),Somewhat Accurate (4),No Engagement,No Engagement,Like,I'm not sure (3),More fake than real (2),More fake than real (2),Very Liberal,3,"Yes, somewhat experienced"
616326a20970334859e5230d,10,10,10,1,2,3,3,2,1,No,Somewhat Inaccurate (2),Somewhat Accurate (4),Neither Accurate nor Inaccurate (3),No Engagement,No Engagement,No Engagement,More real than fake (4),More fake than real (2),Definitely fake (1),Prefer not to say,2,"Yes, very experienced"
610bef492b08b1b6375c4b8b,11,11,11,1,2,3,2,1,3,No,Neither Accurate nor Inaccurate (3),Somewhat Accurate (4),Very Inaccurate (1),No Engagement,No Engagement,No Engagement,I'm not sure (3),I'm not sure (3),More real than fake (4),Slightly Conservative,Neutral   5,"Yes, somewhat experienced"
