Accuracy,Engagement,HasProfile,TweetID,Condition,SubjectID,Political View,Trust Tweet,Photoshop,Timing,FPTiming
Very Inaccurate (1),No Engagement,No,3,1,1,Very Liberal,6,"No, I've never used it",11.538,2.38
Somewhat Inaccurate (2),No Engagement,No,2,1,2,Slightly Conservative,2,"Yes, somewhat experienced",3.104,0
Very Inaccurate (1),No Engagement,No,3,1,3,Slightly Liberal,4,"Yes,  but I just started using it",10.72,0
Very Inaccurate (1),No Engagement,No,2,1,4,Prefer not to say,Neutral   5,"Yes, somewhat experienced",4.289,9.317
Very Accurate (5),No Engagement,No,1,1,5,Prefer not to say,Neutral   5,"Yes,  but I just started using it",16.542,4.474
Very Inaccurate (1),No Engagement,No,3,1,6,Slightly Liberal,7,"Yes,  but I just started using it",20.612,8.022
Somewhat Accurate (4),No Engagement,No,2,1,7,Slightly Conservative,Neutral   5,"No, I've never used it",4.192,10.718
Somewhat Accurate (4),No Engagement,No,1,1,8,Very Conservative,4,"No, I've never used it",11.768,0
Somewhat Inaccurate (2),No Engagement,No,3,1,9,Very Liberal,3,"Yes, somewhat experienced",2.832,0
Somewhat Inaccurate (2),No Engagement,No,3,1,10,Prefer not to say,2,"Yes, very experienced",5.719,3.642
Neither Accurate nor Inaccurate (3),No Engagement,No,2,1,11,Slightly Conservative,Neutral   5,"Yes, somewhat experienced",1.626,0
Very Inaccurate (1),No Engagement,No,3,1,12,Very Liberal,9,"Yes, somewhat experienced",12.422,13.359
Somewhat Accurate (4),No Engagement,No,2,1,13,Slightly Liberal,6,"Yes, somewhat experienced",12.205,0
Very Inaccurate (1),No Engagement,No,1,1,14,Very Liberal,6,"No, I've never used it",14.53,5.975
Very Accurate (5),Retweet,No,2,1,15,Slightly Liberal,4,"Yes,  but I just started using it",5.841,0.682
Very Inaccurate (1),No Engagement,No,3,1,16,Slightly Liberal,Untrustworthy 1,"Yes, very experienced",12.946,0
Somewhat Accurate (4),No Engagement,No,1,1,17,Slightly Liberal,Neutral   5,"No, I've never used it",3.944,0
Somewhat Inaccurate (2),No Engagement,No,1,1,18,Very Liberal,7,"Yes, somewhat experienced",15.941,1.041
Very Accurate (5),No Engagement,No,2,1,19,Very Liberal,Untrustworthy 1,"Yes, somewhat experienced",40.764,7.849
Somewhat Inaccurate (2),No Engagement,No,2,1,20,Very Conservative,Neutral   5,"Yes, very experienced",1.654,0
Somewhat Inaccurate (2),No Engagement,No,2,1,21,Very Liberal,3,"Yes, somewhat experienced",24.019,3.73
Neither Accurate nor Inaccurate (3),No Engagement,No,1,1,22,Very Liberal,Neutral   5,"No, I've never used it",2.784,0
Somewhat Inaccurate (2),No Engagement,No,3,1,23,Very Liberal,Neutral   5,"No, I've never used it",9.902,4.866
Very Inaccurate (1),No Engagement,No,3,1,24,Slightly Liberal,6,"No, I've never used it",4.001,0
Somewhat Inaccurate (2),No Engagement,No,3,1,25,Slightly Liberal,Untrustworthy 1,"Yes,  but I just started using it",11.564,8.416
Neither Accurate nor Inaccurate (3),No Engagement,No,3,1,26,Slightly Conservative,4,"Yes, somewhat experienced",13.922,0
Very Accurate (5),Like,No,3,1,27,Slightly Conservative,Neutral   5,"No, I've never used it",5.604,0
Neither Accurate nor Inaccurate (3),No Engagement,No,1,1,28,Prefer not to say,Neutral   5,"Yes, somewhat experienced",3.384,0.797
Very Inaccurate (1),No Engagement,No,1,1,29,Slightly Conservative,6,"Yes,  but I just started using it",7.545,0.973
Neither Accurate nor Inaccurate (3),No Engagement,No,2,1,30,Very Liberal,Neutral   5,"Yes, somewhat experienced",16.682,2.158
Very Inaccurate (1),No Engagement,No,3,1,31,Very Liberal,6,"No, I've never used it",5.106,1.13
Neither Accurate nor Inaccurate (3),No Engagement,No,1,1,32,Very Liberal,Neutral   5,"No, I've never used it",1.513,1.313
Neither Accurate nor Inaccurate (3),No Engagement,No,2,1,33,Slightly Liberal,Neutral   5,"Yes, somewhat experienced",5.074,4.555
Somewhat Accurate (4),No Engagement,No,3,1,34,Slightly Conservative,Neutral   5,"No, I've never used it",11.029,0
Neither Accurate nor Inaccurate (3),No Engagement,No,1,1,35,Slightly Liberal,4,"Yes, somewhat experienced",4.896,0.87
Very Inaccurate (1),No Engagement,No,3,1,36,Slightly Liberal,6,"Yes, somewhat experienced",12.418,10.79
Somewhat Inaccurate (2),No Engagement,No,2,1,37,Slightly Liberal,3,"No, I've never used it",28.694,7.532
Neither Accurate nor Inaccurate (3),No Engagement,No,1,1,38,Very Conservative,7,"Yes, very experienced",3.978,0
Somewhat Inaccurate (2),No Engagement,No,3,1,39,Very Conservative,Neutral   5,"No, I've never used it",16.371,6.667
Very Inaccurate (1),No Engagement,No,3,1,40,Slightly Liberal,7,"Yes, somewhat experienced",5.047,2.075
Somewhat Accurate (4),Like,No,2,1,41,Slightly Liberal,Neutral   5,"No, I've never used it",2.934,0
Very Accurate (5),Like,No,2,1,42,Very Liberal,8,"No, I've never used it",2.782,0
Neither Accurate nor Inaccurate (3),No Engagement,No,2,1,43,Slightly Conservative,3,"Yes, very experienced",4.552,0
Very Inaccurate (1),No Engagement,No,3,1,44,Slightly Liberal,Neutral   5,"Yes,  but I just started using it",3.096,0
Neither Accurate nor Inaccurate (3),Prefer not to say,No,1,1,45,Very Liberal,7,"Yes, somewhat experienced",176.996,5.119
Very Inaccurate (1),No Engagement,No,2,1,46,Slightly Liberal,Neutral   5,"Yes,  but I just started using it",3.989,0
Somewhat Inaccurate (2),No Engagement,No,3,1,47,Slightly Liberal,Untrustworthy 1,"No, I've never used it",25.687,23.102
Neither Accurate nor Inaccurate (3),No Engagement,No,2,1,48,Very Liberal,9,"No, I've never used it",14.031,0
Somewhat Inaccurate (2),No Engagement,No,1,1,49,Slightly Liberal,7,"Yes, very experienced",9.039,1.298
Very Inaccurate (1),No Engagement,No,1,1,50,Very Liberal,7,"Yes, somewhat experienced",13.057,3.681
Very Inaccurate (1),No Engagement,No,1,1,51,Slightly Liberal,Neutral   5,"No, I've never used it",3.733,0
Somewhat Inaccurate (2),No Engagement,No,1,1,52,Slightly Liberal,Neutral   5,"Yes,  but I just started using it",16.59,6.156
Very Inaccurate (1),Reply,No,1,1,53,Slightly Liberal,Neutral   5,"Yes,  but I just started using it",2.181,0
Somewhat Inaccurate (2),No Engagement,No,3,1,54,Very Conservative,Neutral   5,"No, I've never used it",1.882,0
Neither Accurate nor Inaccurate (3),No Engagement,No,2,1,55,Slightly Conservative,Neutral   5,"No, I've never used it",18.369,11.978
Very Inaccurate (1),No Engagement,No,2,1,56,Slightly Liberal,8,"Yes,  but I just started using it",9.49,14.465
Neither Accurate nor Inaccurate (3),No Engagement,No,1,1,57,Slightly Liberal,3,"Yes, somewhat experienced",6.581,1.193
Very Inaccurate (1),No Engagement,No,3,1,58,Prefer not to say,4,"No, I've never used it",8.604,3.951
Somewhat Inaccurate (2),No Engagement,No,1,1,59,Slightly Liberal,Neutral   5,"Yes,  but I just started using it",5.74,0
Very Inaccurate (1),No Engagement,No,2,1,60,Slightly Liberal,4,"No, I've never used it",5.231,4.985
Somewhat Inaccurate (2),No Engagement,No,1,1,61,Very Liberal,2,"No, I've never used it",3.744,0
Somewhat Accurate (4),No Engagement,No,3,1,62,Slightly Conservative,2,"No, I've never used it",3.568,0
Somewhat Accurate (4),No Engagement,No,1,1,63,Very Liberal,7,"Yes, somewhat experienced",2.169,0
Very Inaccurate (1),No Engagement,No,2,1,64,Slightly Liberal,Neutral   5,"Yes,  but I just started using it",9.92,0
Somewhat Inaccurate (2),No Engagement,No,3,1,65,Slightly Conservative,Neutral   5,"Yes, somewhat experienced",5.779,0
Very Accurate (5),External Share,No,1,1,66,Slightly Conservative,6,"Yes, somewhat experienced",2.96,0
Very Inaccurate (1),No Engagement,No,2,1,67,Slightly Liberal,2,"No, I've never used it",2.396,0
Neither Accurate nor Inaccurate (3),No Engagement,No,1,1,68,Very Liberal,4,"Yes,  but I just started using it",1.575,0.536
Neither Accurate nor Inaccurate (3),No Engagement,No,1,1,69,Slightly Liberal,9,"Yes, somewhat experienced",46.31,7.661
Neither Accurate nor Inaccurate (3),No Engagement,No,3,1,70,Slightly Liberal,Neutral   5,"Yes, somewhat experienced",2.303,0
Very Inaccurate (1),No Engagement,No,3,1,71,Slightly Liberal,3,"Yes, somewhat experienced",7.99,10.058
Somewhat Accurate (4),No Engagement,No,3,1,72,Prefer not to say,Neutral   5,Prefer not to say,3.779,1.087
