Subject,Condition,TweetID,TweetAccuracy,TweetEngage,TEndTime,TPageTime,TPAccuracy,TPEngage,TPEndTime,TPPageTime,FakeRate,FEndTime,FPageTime,Political_View,Trust_Tweet,Photoshop
1,1,3,Very Inaccurate (1),No Engagement,11.538,12.978,Very Inaccurate (1),No Engagement,3.253,4.079,More fake than real (2),2.38,4.046,1,2,0
1,2,1,Somewhat Accurate (4),No Engagement,1.701,3.047,Somewhat Accurate (4),No Engagement,1.557,2.784,More real than fake (4),0,0.928,1,2,0
1,3,2,Neither Accurate nor Inaccurate (3),No Engagement,7.214,8.512,Somewhat Inaccurate (2),No Engagement,0.943,2.575,Definitely fake (1),0,2.152,1,2,0
2,1,2,Somewhat Inaccurate (2),No Engagement,3.104,4.673,Somewhat Inaccurate (2),No Engagement,3.433,5.643,Definitely real (5),0,1.556,0,0,1
2,2,1,Neither Accurate nor Inaccurate (3),No Engagement,4.852,6.274,Neither Accurate nor Inaccurate (3),No Engagement,4.47,5.805,Definitely real (5),0,0.916,0,0,1
2,3,3,Somewhat Inaccurate (2),No Engagement,8.135,10.512,Somewhat Inaccurate (2),No Engagement,7.331,8.752,Definitely fake (1),0,1.292,0,0,1
3,1,3,Very Inaccurate (1),No Engagement,10.72,13.203,Very Inaccurate (1),No Engagement,10.936,12.346,I'm not sure (3),0,0.889,1,0,1
3,2,2,Very Accurate (5),No Engagement,7.233,9.204,Very Accurate (5),No Engagement,5.05,6.066,More real than fake (4),0,1.442,1,0,1
3,3,1,Somewhat Inaccurate (2),No Engagement,3.533,5.222,Somewhat Inaccurate (2),No Engagement,3.614,5.236,More fake than real (2),0,4.507,1,0,1
4,1,2,Very Inaccurate (1),No Engagement,4.289,4.952,Neither Accurate nor Inaccurate (3),No Engagement,18.345,19.4,More fake than real (2),9.317,10.099,0,1,1
4,2,1,Neither Accurate nor Inaccurate (3),Like,47.551,48.602,Somewhat Inaccurate (2),No Engagement,14.405,15.723,More fake than real (2),3.051,3.829,0,1,1
4,3,3,Somewhat Inaccurate (2),Reply,6.385,7.158,Very Inaccurate (1),Reply,8.343,8.786,More real than fake (4),5.151,5.803,0,1,1
5,1,1,Very Accurate (5),No Engagement,16.542,17.713,Very Accurate (5),No Engagement,8.485,9.012,Definitely real (5),4.474,5.107,0,1,1
5,2,3,Very Inaccurate (1),No Engagement,12.41,13.061,Very Inaccurate (1),No Engagement,22.655,23.22,Definitely real (5),4.072,4.746,0,1,1
5,3,2,Somewhat Inaccurate (2),No Engagement,22.725,23.423,Very Inaccurate (1),No Engagement,18.744,19.306,More real than fake (4),27.618,27.943,0,1,1
6,1,3,Very Inaccurate (1),No Engagement,20.612,21.391,Very Inaccurate (1),No Engagement,26.541,27.285,Definitely fake (1),8.022,8.772,1,2,1
6,2,2,Somewhat Accurate (4),No Engagement,14.232,14.883,Somewhat Accurate (4),No Engagement,12.762,13.385,More real than fake (4),8.667,9.496,1,2,1
6,3,1,Somewhat Inaccurate (2),No Engagement,27.292,28.277,Somewhat Inaccurate (2),No Engagement,33.9,34.858,More real than fake (4),14.193,15.194,1,2,1
7,1,2,Somewhat Accurate (4),No Engagement,4.192,5.207,Somewhat Accurate (4),No Engagement,3.946,5.029,More real than fake (4),10.718,12.25,0,1,0
7,2,1,Somewhat Accurate (4),No Engagement,7.233,8.25,Somewhat Accurate (4),No Engagement,3.467,4.557,More real than fake (4),1.885,3.085,0,1,0
7,3,3,Somewhat Inaccurate (2),No Engagement,6.982,8.516,Very Inaccurate (1),No Engagement,6.179,7.434,Definitely fake (1),2.088,3.683,0,1,0
8,1,1,Somewhat Accurate (4),No Engagement,11.768,14.15,Very Accurate (5),Like,6.592,8.909,More real than fake (4),0,1.979,0,0,0
8,2,2,Somewhat Inaccurate (2),No Engagement,4.169,6.853,Neither Accurate nor Inaccurate (3),No Engagement,2.84,5.66,I'm not sure (3),0,1.548,0,0,0
8,3,3,Somewhat Inaccurate (2),No Engagement,6.865,9.197,Somewhat Inaccurate (2),No Engagement,4.382,7.524,More fake than real (2),0,2.7,0,0,0
9,1,3,Somewhat Inaccurate (2),No Engagement,2.832,5.348,Somewhat Inaccurate (2),No Engagement,3.568,6.803,I'm not sure (3),0,10.95,1,0,1
9,2,1,Somewhat Accurate (4),No Engagement,7.336,13.132,Neither Accurate nor Inaccurate (3),No Engagement,8.576,10.412,More fake than real (2),0.72,2.347,1,0,1
9,3,2,Somewhat Accurate (4),Like,2.6,7.26,Neither Accurate nor Inaccurate (3),Like,15.384,18.395,More fake than real (2),0,1.171,1,0,1
10,1,3,Somewhat Inaccurate (2),No Engagement,5.719,7.12,Neither Accurate nor Inaccurate (3),No Engagement,6.355,7.045,More real than fake (4),3.642,4.566,0,0,1
10,2,2,Somewhat Accurate (4),No Engagement,24.312,25.186,Neither Accurate nor Inaccurate (3),No Engagement,18.225,18.835,More fake than real (2),16.218,16.704,0,0,1
10,3,1,Neither Accurate nor Inaccurate (3),No Engagement,10.347,11.114,Neither Accurate nor Inaccurate (3),No Engagement,12.969,13.6,Definitely fake (1),8.266,9.038,0,0,1
11,1,2,Neither Accurate nor Inaccurate (3),No Engagement,1.626,3.004,Neither Accurate nor Inaccurate (3),No Engagement,2.591,3.783,I'm not sure (3),0,1.089,0,1,1
11,2,1,Somewhat Accurate (4),No Engagement,5.132,6.267,Neither Accurate nor Inaccurate (3),No Engagement,2.406,4.037,I'm not sure (3),0,0.963,0,1,1
11,3,3,Very Inaccurate (1),No Engagement,5.237,6.898,Very Inaccurate (1),No Engagement,2.572,4.741,More real than fake (4),0,1.445,0,1,1
12,1,3,Very Inaccurate (1),No Engagement,12.422,13.228,Neither Accurate nor Inaccurate (3),No Engagement,12.652,13.351,More fake than real (2),13.359,14.2,1,2,1
12,2,2,Somewhat Inaccurate (2),No Engagement,7.644,8.442,Neither Accurate nor Inaccurate (3),No Engagement,11.683,12.401,Definitely real (5),2.932,4.428,1,2,1
12,3,1,Very Accurate (5),Like,31.161,32.364,Somewhat Inaccurate (2),No Engagement,23.539,26.121,Definitely real (5),3.314,4.218,1,2,1
13,1,2,Somewhat Accurate (4),No Engagement,12.205,13.312,Somewhat Accurate (4),No Engagement,1.774,3.067,More real than fake (4),0,1.079,1,2,1
13,2,3,Somewhat Inaccurate (2),No Engagement,16.367,16.73,Very Inaccurate (1),No Engagement,3.016,4.535,More real than fake (4),0,1.152,1,2,1
13,3,1,Neither Accurate nor Inaccurate (3),No Engagement,7.578,8.736,Very Inaccurate (1),No Engagement,2.481,3.511,Definitely fake (1),1.401,2.123,1,2,1
14,1,1,Very Inaccurate (1),No Engagement,14.53,15.469,Somewhat Accurate (4),Like,23.405,24.152,I'm not sure (3),5.975,6.632,1,2,0
14,2,3,Neither Accurate nor Inaccurate (3),No Engagement,68.686,69.26,Neither Accurate nor Inaccurate (3),No Engagement,11.343,11.936,More real than fake (4),17.956,18.567,1,2,0
14,3,2,Somewhat Inaccurate (2),No Engagement,23.155,24.006,Somewhat Inaccurate (2),No Engagement,18.63,19.368,More real than fake (4),5.265,6.07,1,2,0
15,1,2,Very Accurate (5),Retweet,5.841,8.348,Somewhat Accurate (4),Retweet,2.147,6.287,I'm not sure (3),0.682,1.802,1,0,1
15,2,1,Very Inaccurate (1),No Engagement,5.712,7.441,Very Inaccurate (1),No Engagement,0.84,4.649,Definitely real (5),0,0.655,1,0,1
15,3,3,Neither Accurate nor Inaccurate (3),No Engagement,7.295,9.186,Very Inaccurate (1),0,0.78,2.266,I'm not sure (3),8.035,8.782,1,0,1
16,1,3,Very Inaccurate (1),No Engagement,12.946,13.693,Neither Accurate nor Inaccurate (3),No Engagement,5.184,5.91,More fake than real (2),0,1.005,1,0,1
16,2,2,Neither Accurate nor Inaccurate (3),No Engagement,6.736,7.797,Neither Accurate nor Inaccurate (3),No Engagement,3.32,3.907,Definitely fake (1),0,1.299,1,0,1
16,3,1,Neither Accurate nor Inaccurate (3),No Engagement,3.264,4.12,Neither Accurate nor Inaccurate (3),No Engagement,10.889,12.077,I'm not sure (3),0,6.656,1,0,1
17,1,1,Somewhat Accurate (4),No Engagement,3.944,5.422,Somewhat Accurate (4),No Engagement,3.129,4.145,More real than fake (4),0,1.088,1,1,0
17,2,3,Somewhat Accurate (4),No Engagement,2.176,3.762,Somewhat Accurate (4),No Engagement,1.888,3.309,More real than fake (4),0,1.159,1,1,0
17,3,2,Neither Accurate nor Inaccurate (3),No Engagement,1.294,2.934,Neither Accurate nor Inaccurate (3),No Engagement,2.365,4.031,More real than fake (4),0,0.915,1,1,0
18,1,1,Somewhat Inaccurate (2),No Engagement,15.941,16.575,Somewhat Accurate (4),No Engagement,4.343,5.44,More real than fake (4),1.041,1.508,1,2,1
18,2,3,Very Inaccurate (1),No Engagement,11.57,16.398,Somewhat Accurate (4),Reply,15.469,16.062,More real than fake (4),6.331,7.188,1,2,1
18,3,2,Somewhat Accurate (4),No Engagement,11.006,11.389,Somewhat Inaccurate (2),No Engagement,5.521,6.129,Definitely fake (1),1.499,2.427,1,2,1
19,1,2,Very Accurate (5),No Engagement,40.764,45.572,Very Accurate (5),No Engagement,25.033,26.848,More real than fake (4),7.849,9.233,1,0,1
19,2,1,Neither Accurate nor Inaccurate (3),No Engagement,26.929,27.919,Neither Accurate nor Inaccurate (3),No Engagement,15.202,16.549,More fake than real (2),28.333,30.356,1,0,1
