Subject,Condition,TweetID,TweetAccuracy,TweetEngage,TEndTime,TPageTime,TPAccuracy,TPEngage,TPEndTime,TPPageTime,FakeRate,FEndTime,FPageTime,Covid_Freq,Political_View,Twitter_Exp,Tweet_Freq,Trust_Tweet,Covid_Vacc,Photoshop,Age,Gender,Education
1,1,3,Very Inaccurate (1),No Engagement,11.538,12.978,Very Inaccurate (1),No Engagement,3.253,4.079,More fake than real (2),2.38,4.046,More than once a week,Very Liberal,"Yes, somewhat experienced",Once a month,6,"Yes, fully vaccinated","No, I've never used it",18-29,Female,Some college but no degree
1,2,1,Somewhat Accurate (4),No Engagement,1.701,3.047,Somewhat Accurate (4),No Engagement,1.557,2.784,More real than fake (4),0,0.928,More than once a week,Very Liberal,"Yes, somewhat experienced",Once a month,6,"Yes, fully vaccinated","No, I've never used it",18-29,Female,Some college but no degree
1,3,2,Neither Accurate nor Inaccurate (3),No Engagement,7.214,8.512,Somewhat Inaccurate (2),No Engagement,0.943,2.575,Definitely fake (1),0,2.152,More than once a week,Very Liberal,"Yes, somewhat experienced",Once a month,6,"Yes, fully vaccinated","No, I've never used it",18-29,Female,Some college but no degree
2,1,2,Somewhat Inaccurate (2),No Engagement,3.104,4.673,Somewhat Inaccurate (2),No Engagement,3.433,5.643,Definitely real (5),0,1.556,A few times,Slightly Conservative,"Yes, somewhat experienced",I did not tweet or retweet in the past 3 months,2,"Yes, fully vaccinated","Yes, somewhat experienced",30-39,Male,Bachelor degree
2,2,1,Neither Accurate nor Inaccurate (3),No Engagement,4.852,6.274,Neither Accurate nor Inaccurate (3),No Engagement,4.47,5.805,Definitely real (5),0,0.916,A few times,Slightly Conservative,"Yes, somewhat experienced",I did not tweet or retweet in the past 3 months,2,"Yes, fully vaccinated","Yes, somewhat experienced",30-39,Male,Bachelor degree
2,3,3,Somewhat Inaccurate (2),No Engagement,8.135,10.512,Somewhat Inaccurate (2),No Engagement,7.331,8.752,Definitely fake (1),0,1.292,A few times,Slightly Conservative,"Yes, somewhat experienced",I did not tweet or retweet in the past 3 months,2,"Yes, fully vaccinated","Yes, somewhat experienced",30-39,Male,Bachelor degree
3,1,3,Very Inaccurate (1),No Engagement,10.72,13.203,Very Inaccurate (1),No Engagement,10.936,12.346,I'm not sure (3),0,0.889,A few times,Slightly Liberal,"Yes, somewhat experienced",More than once a week,4,"Yes, fully vaccinated","Yes, but I just started using it",30-39,Male,Bachelor degree
3,2,2,Very Accurate (5),No Engagement,7.233,9.204,Very Accurate (5),No Engagement,5.05,6.066,More real than fake (4),0,1.442,A few times,Slightly Liberal,"Yes, somewhat experienced",More than once a week,4,"Yes, fully vaccinated","Yes, but I just started using it",30-39,Male,Bachelor degree
3,3,1,Somewhat Inaccurate (2),No Engagement,3.533,5.222,Somewhat Inaccurate (2),No Engagement,3.614,5.236,More fake than real (2),0,4.507,A few times,Slightly Liberal,"Yes, somewhat experienced",More than once a week,4,"Yes, fully vaccinated","Yes, but I just started using it",30-39,Male,Bachelor degree
4,1,2,Very Inaccurate (1),No Engagement,4.289,4.952,Neither Accurate nor Inaccurate (3),No Engagement,18.345,19.4,More fake than real (2),9.317,10.099,A few times,Prefer not to say,"Yes, somewhat experienced",I did not tweet or retweet in the past 3 months,Neutral 5,"No, I am not vaccinated","Yes, somewhat experienced",18-29,Male,Less than high school degree
4,2,1,Neither Accurate nor Inaccurate (3),Like,47.551,48.602,Somewhat Inaccurate (2),No Engagement,14.405,15.723,More fake than real (2),3.051,3.829,A few times,Prefer not to say,"Yes, somewhat experienced",I did not tweet or retweet in the past 3 months,Neutral 5,"No, I am not vaccinated","Yes, somewhat experienced",18-29,Male,Less than high school degree
4,3,3,Somewhat Inaccurate (2),Reply,6.385,7.158,Very Inaccurate (1),Reply,8.343,8.786,More real than fake (4),5.151,5.803,A few times,Prefer not to say,"Yes, somewhat experienced",I did not tweet or retweet in the past 3 months,Neutral 5,"No, I am not vaccinated","Yes, somewhat experienced",18-29,Male,Less than high school degree
5,1,1,Very Accurate (5),No Engagement,16.542,17.713,Very Accurate (5),No Engagement,8.485,9.012,Definitely real (5),4.474,5.107,I did not read or listen to news concerning COVID-19 in the past 12 months,Prefer not to say,"No, I've never used it",I did not tweet or retweet in the past 3 months,Neutral 5,"No, I am not vaccinated","Yes, but I just started using it",30-39,Female,"High school degree or equivalent (e.g., GED)"
